
GRANTED_ROLE                   GRANTEE                                          
------------------------------ ------------------------------                   
APPLICATION_OWNER              BIZFLOWUSERID                                    
APPLICATION_OWNER              PAPILOT                                          
APPLICATION_OWNER              TITLEIII                                         
APP_DEVELOPER                  ACCOUNTS                                         
APP_DEVELOPER                  BENE_CHOICE                                      
APP_DEVELOPER                  BIZFLOWUSERID                                    
APP_DEVELOPER                  BRIO                                             
APP_DEVELOPER                  CALMAS                                           
APP_DEVELOPER                  CBO                                              
APP_DEVELOPER                  CLOSEOUT                                         
APP_DEVELOPER                  COMMON                                           
APP_DEVELOPER                  CONFIGMAN                                        
APP_DEVELOPER                  CRIS                                             
APP_DEVELOPER                  EGRANTS                                          
APP_DEVELOPER                  EGRANTS_BV_USER                                  
APP_DEVELOPER                  EGRANT_BV_USER                                   
APP_DEVELOPER                  GEMS                                             
APP_DEVELOPER                  GRANTS                                           
APP_DEVELOPER                  GRANTSGEMS                                       
APP_DEVELOPER                  GTS                                              
APP_DEVELOPER                  HGCB                                             
APP_DEVELOPER                  INDIAN                                           
APP_DEVELOPER                  INTRANET                                         
APP_DEVELOPER                  ISTORE                                           
APP_DEVELOPER                  ISTOREWEB                                        
APP_DEVELOPER                  JFAS                                             
APP_DEVELOPER                  MIGRANT                                          
APP_DEVELOPER                  NEG3                                             
APP_DEVELOPER                  NEG5                                             
APP_DEVELOPER                  ODEP                                             
APP_DEVELOPER                  OGCM                                             
APP_DEVELOPER                  PAO                                              
APP_DEVELOPER                  PERFSTAT                                         
APP_DEVELOPER                  PERS                                             
APP_DEVELOPER                  PRI                                              
APP_DEVELOPER                  RAD                                              
APP_DEVELOPER                  REQ                                              
APP_DEVELOPER                  SCSEP                                            
APP_DEVELOPER                  SPARQ                                            
APP_DEVELOPER                  SUPPORT                                          
APP_DEVELOPER                  TAA                                              
APP_DEVELOPER                  TITLE3                                           
APP_DEVELOPER                  TITLEII                                          
APP_DEVELOPER                  TITLEIII                                         
APP_DEVELOPER                  TITLEXII                                         
APP_DEVELOPER                  TMPERS                                           
APP_DEVELOPER                  TOAD                                             
APP_DEVELOPER                  WAIVERS                                          
APP_DEVELOPER                  WAIVERS_BETA                                     
APP_DEVELOPER                  WIA                                              
APP_DEVELOPER                  WIARPT                                           
APP_DEVELOPER                  WTW                                              
APP_DEVELOPER                  YOUTHBUILD                                       
DBA                            ETADBA                                           
INFOSTORE_REPORT_ROLE          ISTORE                                           
PLUSTRACE                      BENE_CHOICE                                      
PLUSTRACE                      EGRANTS                                          
PLUSTRACE                      PRI                                              
PLUSTRACE                      PUBLIC                                           
PLUSTRACE                      TITLEXII                                         
RESOURCE                       INTRANET                                         
